text,label
@azarijahromi چرا انحصار adsl مخابرات روی فیبر نوری برداشته نمیشه هر جوری دوست دارند قیمت اینترنت حساب میکنند ما هم انتخاب دیگه ای نداریم,0
حاجی سلام چطوری بخدا ی کاری بکن قیمت اینترنت خرابه به خدا.,0
یه فکری به دزدی های مخابرات بکنید !!!!!!!!,0
بگو خواستگار دارم - ریشه را می‌یابد,2
Becarefull with COVID19,1
سلام مهندس وقت بخیرخسته نباشید روستاهای خاتون آباد.ماران قلعه مارمورد.عشرت آباد.زنگیان.کلاب.علیا.کلاب صوفیان.باغبابوئیه.حشرآباد.ابوذریه.الله آباد.علاالدینی ازتوابع بخش مرکزی شهرستان جیرفت استان کرمان باجمعیتی بالغ بر ۱۲هزارنفرودرفاصله ۱۰تا۱۲کیلومتری مرکز شهرستان آنتن دهی همراه اول بسیارضعیفی یا به کلی بدون آنتن میباشد  و تلفن های ثابت بعضی ازین روستاها بیشتراز ۳ساله قطع میباشد باپیگیریهای پی درپی اما همچنان تاکنون این مشکل رفع نشده خواهشمندیم پیگیری نمایید,0
دیگه از ما گذشته پولی نداریم که خرید کنیم تا بفهمیم قیمت تغییر کرده یا نه، #بدبختی #IslamicRegimMustGo,0
ای جانم فدای لبخندت,2
خوب پول نت رایگانو زدید به حساب مشترکین مخابرات دستتون درد نکنه واقعا همه وعده وعیدهاتون همینجوریه,0
یه کاری کنید که وقتی رفتین همه ناراحت بشن ن اینکه خوشحال، این همه ادعا در صنعت ارتباطات اما دریغ از یک اپسیلون پیشرفت فقط یاد گرفتین که از کاه کوه بسازین. چند میلیون انسان روزانه و ماهانه هزینه میکنن و وقت میزارن ک از حداقل امکاناتی ک حقشونه استفاده کنن اما حیف، حیف این وقت و هزینه. ما این همه هزینه میکنیم که حداقل ی سرعت اینترنت خوب بهرهمند بشیم اما هیچی نصیبمون نمیشه. شعارتون شده در خانه بمانید اما کمترین امکانات هم برای کسایی که رعایت میکنن مهیا نمیکنین لطفا پیگیر باشید ب عنوان کسی ک وظیفشه. چرا باید سرعت اینترنت اینقدر بد و ضعیف باشه,0
سلام همه میگن حاجی  توهم بگو جان جان حاجی . لطفاً برای اینترنت همراه  معلمان  برای کلاس های مجازی  و بچه ها که کلاسهای مجازی رو دنبال کنن فکری کنید درضمن بنده چون در همراه اول مشغول هستم و روستاهای دور افتاده میرم متاسفانه محروم از سرعت  اینترنت همراه هستن که فقط به زور مکالمه انجام میدم لطفاً  تصمیمی اتخاذ کنید که حداقل 3Gداشته باشن,1
ضرب المثل سحرخیز باش تا کامروا شوی رفت تو دیوار,0
"با سلام  اینجانب به شماره دفتر کل ۰۰۰۰۰۰۰۰۰۰۰۰۰
نسبت به عددافزایش ۵۰٪ درصدی فصل دهم به حقوق بازنشستگان شاکی هستم 
به شماره۳۰۰۰۲۹۰  و۱۰۰۰۶۰۰ 
پیامک کنید
قابل توجه بازنشستگان محترم ☝☝
جهت احقاق حق مُسَلم خود ناشی از عدم اجرای جدول ذیل توسط دولت  متن فوق را با شماره کارگزینی خود به شماره های  ۳۰۰۰۲۹۰  مجلس شورای اسلامی و ۱۰۰۰۶۰۰ شبکه خبر ارسال نمائید
هزینه دو پیامک چیزی نخواهد بود شاید که جمع اعتراض ما بتواند  دفاعی ازحق خانواده ما نماید
🌸🌸بازنشسته های عزیز مخابرات در کجای این افزایش حقوق 👆قرار دارند؟؟؟!!! مسئولین پاسخ دهند؟",0
من از بی کیفیتی اینترنتی که در ده دقیقه سه بار قطع میشه به کی باید شکایت کنم؟ چه کسی مسئول حق پایمال شده ماست؟ کلی پول اینترنت ثابت و موبایل داریم می‌دیم، ده دقیقه مستمر نمی‌تونیم استفاده کنیم. آقا توان نداریم بدیم دست یکی که می‌تونه خسته شدیم دیگه. ده بار شکایت بردم به بیست‌بیست، طرف نیم ساعت یک ساعت میگفت بررسی شد مشکل شما حل شد. جدیداً میگه بررسی شد شما مشکلی ندارید. متاسفانه از هیچ جای دیگری غیر از مخابرات نمیتونم سرویس بگیرم وگرنه درنگ نمی‌کردم. خط فشل مسی رو اسم فیبر نوری روش گذاشتن برای خودشون انحصار ایجاد کردند.,0
@azarijahromi آقای وزیر شما نیومده قیمتا رفت بالا سرویس adsl دو مگ با حجم ۲۵ گیگ میگرفتم از مخابرات ۳۵ تومن از ساعت ۲ تا ۶ هم رایگان بود این سرویس حذف شده نزدیکترین سرویس دو مگ حجم ۱۵ گیگ دانلود رایگانم نداره ۳۵ تومن ده گیگش این وسط توسط دوستانتون دزدیده,0
سلام و خداقوت جناب وزیر. بنده امروز به این نتیجه رسیدم که اپراتور مخابرات داره از خجالت اون 100 گیگ ترافیک رایگان در میاد.در عرض 5 روز 40 گیگ مصرف اینترنت نشون میده که اگه بخوام بشینم هر 5 روز فیلم دانلود کنم بازم با این سرعت امکانش نیست.ممنون میشم در صورت امکان رسیدگی بفرمایید.,0
آقای جهرمی ببخشید اینترنت مخابرات من زده  پایان 100گیگ 22افند 1398 جریانش چیه یعنی تا 4روز دیگه تمومه؟,0
کِی حرف بزنیم؟وقتی که میخایم خار یه نفرو بگاهیم و بشوریم بذاریمش کنار. والا هر کزکژی برای ما خردمند شده فکر میکنه بقیه هیچی حالیشون نیست. #بیشعور,0
امروز یکی آمد داخل کارگاه وقتی رفت فهمیدم یکی از کارهارو با خودش برده! #دزد,0
با این وضع خط های مخابرات و سیستم قدیمی و داغون سرعت اینترنت رو اگه صد برابر هم کنید بازم هیچی حل نمیشه,0
میترسم جوابشو بدم بکننم تو گونی صلوات محمدی پسند.ختم جلسه رو اعلام میکنم,0
افریقایی ها بدن بسیار مقاومی در برابر کرونا دارن و خیلیاشونم نمی گیرن...,1
آقای جهرمی به اینترنت مخابرات نت رایگان نمیدین,1
گردهمایی بزرگ مقاومت ایران روز ۹ تیر در پاریس برای پشتیبانی از قیام مردم ایران برای رساندن صدای مردم ایران #ایران #ایران_آزاد۹۷ #قیام_ایران #من_یک_آرزو_دارم #اعتصاب_سراسری pic.twitter.com/Ejcd5O4g75,2
اقای اذری دایرکت دادم جواب ندادین .اقا تو رو جان عزیز ترینت یک فکری به حال اینترنت مخابرات خراسان رضری بکن .خراسانیا اگه نظرتون بامن یکیه لایک کنین کامنت رو.اقای اذری اگه دوست داشتی دایوکت دادم بخون مرسی,1
حاجی خوبی اه کرونا نگرفتی که 😂,0
فریدون گرامی مثلا با مغز پوکش میخواد کمک فکری کنه جواب ابلهان خاموشیه عزیزم آخه اونا دستشون از داشتن مغز کوتاست,0
این جهرمی قیافه تخمی باید برکنار شه نت را نابود کرد از وقتی امده بی وجدان عوضی,0
internet kar nemikone 😂😂,0
دکتر جان لطف کن به خطهای همراه اول و ایرانسل هم اینترت رایگان اختصاص بدین . دو تا بچه مدرسه ای داریم دیگه بودجه واسه خرید بسته نداریم . کلاسها همه آنلاینه,0
سرعت نت مخابرات رو افزایش بدین خیلی داغون شده,0
سلام آقای وزیر جان هر کسی که برات عزیزه بداد آنتن دهی همراه و اینترنت جاده سیاهکل به دیلمان و روستاهای اطراف آن برسید .اصلا هیچ گونه آنتن و اینترنت وجود نداره خب شاید این آدمها هم دلی داشته باشند .یکم انصاف هم خب چیزیه,0
من در این آشوب تنهایی، مدام روز و شب را میشمارم روز و شب .... لعنت به تو آقای ج.ا که من رو از عزیزانم جدا کردی ، لعنت .... #دلتنگی #ایرانم,0
جناب وزیر از روزی که اینترنت صد گیگ شما شارژ شده دائم اینترنت ما قطع میشه . مخابرات استان هم کلا تماسها رو قطع میکنن که جواب ندن .بیزحمت این لطف صد گیگ تون رو بردارین همون اینترنت پولی خودمون لااقل وصل بود . جناب ما را به خیر تو امید نیست شر مرسان,0
فرموده بودین اینترنت سرعتش چند برابر میشه. ما که به ناچار و‌تقریبا به زور مشترک اینترنت مخابرات هستیم نه اینترنت رایگان میخوایم نه سرعت بیشتر. همینی که هست هی پشت سر هم قطع و وصل نشه ما ممنون شما هستیم 🙌😑,0
اقای وزیر لطفا پیگیری کنین ثبت نام اینترنت برای فرهنگیان مجدد فعال بشه اصلا خیلیا متوجه نشدن اعلام درستی صورت نگرفت.,1
چو در بند توام بدبختم #کیر,0
لعنت بر شما با این اینترنتون..دو روزه دارم با طویله بیست بیست پشتیبانی زنگ میزنم برای خرید ترافیک اضافه موفق نشدم کسی جوابگو نیست همه کرونا بگیرید سقط شید ایشالا,0
آخه پلشت یدونه نت داده بودی ویروس بد بدت میشه اونم نمدید نکردی,0
نه خانم ورشوچی، این توییت شما اگر شش ماه بعد بود، زمانی که مشکلات مردم بانه حل شده من متوجه حسن نیت شما میشدم ولی الان معنی دیگری داره,0
منم میخوام پزشک شم 😊,1
اینترنت موبایل بهتر نمیشه ؟,1
خر همون خره... گرچه ممکنه ظاهرش عوض شه... می گید کی؟ مصاحبه های اخیر بعضی از وزرا رو گوش کنید. کشور ارث باباتون نیست که هر وقت دوست داشتید جلوی حقوق اولیه مردم رو بگیرید. با قطع کردن راه ارتباطی هیچ اعتراضی تموم نشده. #ریدن_تو_ایران #اعتراضات_سراسری #عصبا,0
آقای محمدجواد آذری جهرمی!؟حالت خوبه؟؟اون ۱۰۰ کیک اینترنت رایگان رو ماباید تو خواب ازش استفاده کنیم یا مثل ماسک هایی که روسیه بعنوان کمک برای ایران فرستاد رو باید ازاپراتورها بامبِلغ دوچندان خریداری کنیم؟؟؟آقا ماشمارو بیشترازبقیه دوستان قبول داریم ولی لطفا با وعده های عمل نشدنیت نظرمارو برنگردون برادرمن😒!بنده منتظر جوابتون زیر این کامنت هستم,0
می گه آخه دیگه جدا شدیم.... هزار تا هشتگ بی غیرت هم بزنم کمه #بی_غیرت,0
اینجا کسی میدونه با بادمجان سیاه چه کارهای هنری میشه کرد؟,1
اسم امسال باید میزاشتن پیروزی الکل بر توکل سال پیشم که تولید روغن بود,1
فران خب خوبشو ک من دیدم^^ پسندیدم دیدم عوض نمیشه,2
خدا قوت #پهلوان #المپیک2016 #Rio2016 #RioOlympics2016 #IRI #Iran,2
#یلدا شب شکست تاریکی و تولد الهه مهر و روشنی و جشن کاملا شاد باستانی و #ایرانی است، #تندروها با تفرقه افکنی،ترس و عجز در برابر تمدن گران سنگ ایرانی سعی در دینی کردن این جشن دارند ،کل سال در سیطره مراسمات شعاری و تظاهر مذهبی است #افراطی ها دست از سر #نوروز و #یلدا و #کوروش بردارید,2
محمود فرجامی و امثالهم از فرط آمریکاستیزی آرزو داشتند کسی رییس جمهور آمریکا شود که با یک فقره تراول بن کلی خون به جگر ایرانیان کرد. پرده دومش لغو برجامه و امیدوارم به پرده های بعدی یعنی جنگ و بازگشت تحریم فلج کننده نرسیم. #آمریکاستیزی #کینه #نیهیلیسم_کینه,0
آقای جهرمی مغازه های ما بسته شد و ضرر کردیم ولی وقت نوبت شما شد که ضرر کنید و اینترنت رایگان بدین دلتون نیومد؟!! این بازی کی بود کی بود من نبودم قدیمی شده گلم,0
هنوز خستگی مهمونی خانوادگی‌های عید در تنم هست. حالا باید افطاری خانوادگی‌ها رو تحمل کنم.,0
وقتايي كه خيلي شادم يهو ميزنم فاز كصمشنگي و ميخوام كه همه اهنگاي غمگينمو پاك كنم ولي خوشالم كه كون گشاديم به دردم ميخوره و پاكشون نميكنم چون وقتي غمگين ميشم اگه اهنگ غمگيني واسه گوش دادن نداشته باشم مجبورم تو سكوت كيريم بمونم و غصه بخورم.,2
من از طلا متنفرم ،دهن به دهن بگید برسه به گوشش,0
وزیر تو دل برو جهرمی🌹,2
@azarijahromi لطفا فکری به حال مخابرات مناطق تهران بکنید که از هر FCP در مرکز تهران درخواست سرویس کردم گفت مخابرات منطقه شما (شهید بهشتی-شریعتی) پورت ندارد! در حالی که از خانه ما تا وزارتخانه تان فاصله چند صد متر است!,0
همه#ZarifIsALiar دیوانه ها عاقل شدن همه دشمن ها دست دوستی دادن اما مسئولین ج ا روزی نیست کشوری رو به لیست دشمنان ما اضافه نکنند رهبران دو کره در دهکده دوستی درختی رابرای نماددوستی دو کشورکاشتند دست دوستی دادند تا شیش ماه پیش نزدیک به جنگ بودند کشورهای دوست ج ا همه درگیر جنگ هستند pic.twitter.com/R05sHnGWkq,0
@mitrazamani09 نه گل و بلبل نیست . ولی ما حواسمون هست کیا دارن گند میزنن و بدبختیامون از کجاس. ولی یه عده سعی دارن گناهشونو بندازن گردن یه عده دیگه . شما هم لطف کن دیگه بنده رو ریپلای نکن . چون مشخصه جیب شما هم آره,0
سلام محمد جواد چرا سرعت اینترنت ها اینقد پایینه فیلتر شکنم کار نمیکنه خودت از چی استفاده میکنی به ماهم بده دیگه پوسیدم از بس خونه موندم اندرخم سرعت اینترنتم😭😭😭😭,0
کرونا برونا👌🏻,1
پیروزی با قرآنه ! اینو نه خودش ، بلکه علم هم بهش گواهی داده !,2
خواهشا ورودی های شهر روببنید وماشین های که میوه میارن میدان تربار از همجا میان فکری بکنید,1
سلام و عرض تبریک و شادباش سال نو پر ویروس و ایام و اعیاد شعبانیه، محضر بزرگ شما جناب دکتر می رسانم که اینترنت ۱۰۰ گیگابایت که قبل از عید فعال شده بود و اطلاع دادین که تا ۱۳ فروردین تمدید خواهید کرد،  اینترنت شاتل هنوز برای ما این اقدام رو انجام نداد و تمدید نکرد.  در صورتی که هنوز ۶۰ گیگابایت دیگر مونده بود که ۲۹ اسفند قطع شد، بابام به شرکت زنگ زدند و گفتند که جناب وزیر هنوز به ما نامه ای ابلاغ نکردند، میخاستم ببینم امکان داره برا شاتل تمدید کنین؟  با احترام..🌷,2
تورو خدا رسیدگی کنید سرعت اینترنت خیلی پایینه,0
من اشتراک مخابرات داشتم ولی ۱۰۰ گیگو بهم ندادن  البته اگه میدادن جای تعجب داشت,0
سلام ایرانسل بسته های اینترنت مودم ال تی دی رو گرون کرده ایا انصاف هست اینکارو بکنن کل بسته های یک ماه  رو افزایش داده @irancell @azarijahromi,0
غلط است هر که گوید که به دل رَهَست دل را دل من ز غصه خون شد دل او خبر ندارد... #وحشی,0
به چند دلار خود میفروشی به مونتیگو@sohmj,0
سرعت اینترنت رو کم میکنید بعد با اسم اینترنت vdsl پول بیشتری از مردم میگیرید با همون سرعت قبلی😊 #سیاست_ما_عین_دیانت_ماست,0
سلام  آقای جهرمی  همراه  اول کل  اینترنت  منو  رو  که حجم خریده  بودم  خورده  دو روزه  داره  از شارژم کم  میکنه,0
خوب حال اگر یکی از ان بچه ها فرزند خودتان بود چی بازهم میخندیدید !!؟؟ و به جوک های ساخته شده به بهانه ضعف حکومت ریسه خنده میرفتید !!! قطعا باید جواب تان خیر باشد ..,0
سلام...جناب اقای جهرمی شما گویا فقط پاسخگوی بانوان بیشتردهستید تا اقایان.......پس اینترنت رایگانی که وعده دادید چه شد؟؟؟؟؟این هم مثل همه وعده هایی که طی این سالیان دادند و فقط در حد حرف بود گویا بوده است...لطف کنید بگید سرعت اینترنت رو درسترکنند و از سر و ته شارژها و بسته های مصرفی اینترنت نزنن خودش خیلی خیلی خیلی خدمت به مردم است.......صد گیگ اینترنت رایگان از اولش هم معلوم بود شعاری بیش نیست.....موفق باشید‌‌😊😊😊😊,0
تااونجا که من میدونم به پسرخانم #ابتکار باید بگن #مامان_زاده نه #آقا_زاده #عینک_بزنید #ابتکار_رئیس_سازمان_گوربابای_محیط_زیست #هواموداری,0
مگه من صحبت از دین کردم عزیز؟ شما صحبت زمان رسول الله رو کردید. دوستان میگن مثلا مخملباف زیرآب بازیگران قبل از انقلاب رو زد در حالیکه رهبر موافق حضورشون بود... در نهایت مخملباف ها برنده شدند. میرحسین تمام اختیارات رییس جمهور رو سلب کرد و و و... اقتدار ایشون زیر سوال نمیره؟,0
هیچوقت از قهر با دوستاتون حرف نزنین ممکنه ناراحت شن,0
یه سلامی هم داریم خدمت اونایی که از از فرط غضه دو مصیبت شهادت امام علی و رحلت امام، از همین الان بلیط آنتالیا و دوبی و اروپا رو رزرو کردن... سلام سلام سلام #امام_حسنی_ام #روح_الله,2
مهندس تلفن خونه ما یک سال قطع مخابرات وصل نمیکنه مارو دریاب در خانه مانده ایم,0
به به . من موافقم,2
اقای مدیر  چرا از تهران شروع کردید؟؟؟ چرا  به فکر شهرهای کوچکی مثل خمین نیستید؟؟؟ برای یکبار هم که شده بیایید به بهانه اینکه خمین زادگاه  بنیانگذار انقلاب است طرح تحول سرعت اینترنت ثابت را از خمین شروع فرمایید یا خمین را در اولویت قرار دهید.,0
موقع ماه رمضون بیشتر قدردان ایران نبودنمم,0
جهرمی جون فکر کنم دکمه رو اشتباهی زدی اینترنت سرعتش چهار برابر نشده سرعت تقسیم بر چهار شده😂 اینترنت زاغه نشینای هند هم پینگش پنجه لامصب😂,0
عمو مخابرات نت نداده,1
عرض سلام مهندس تورو به خدا یه فکری به حال ما همراهیا بکن خدا شاهده تا قبل قرنطینه باز خوب بود ولی خداشاهده به کلی کلافه شدیم از بس سرعتمون پایینه تورو بخدا کاری کنید ممنون میشیم,0
100 گیگ ما فیکس تموم شد🤗🤗🤗✌✌✌ دوباره بدین خوش گذشت قرنطینه😁😁😁,2
درست زمانی که آموزش مجازی دانشگاه ما فعال شده ، بسته اینترنتی مهلتش تموم شد، اگر مقدور باشه یه کاری کن,1
یه آن تصور کردم که ایران آزاد شده و دست توی دست هم داریم پایکوبی می کنیم و اشک شادی می ریزیم، از این رویای شیرین گونه هام خیس شد . #IranStrikes #IranRegimeChange,2
منم میشناسم توی اطرافیانم کسایی رو که این مشکل براشون پیش اومده. درسته که اون آدم اعتیاد داشته و بیمار بوده و ناخوداگاه اون کارو انجام داده ولی ما آدم ها هم تحملمون حدی داره و متنفر بودن هم حق طبیعی ماست. امیدوارم اتفاقای خوب حال وآیندت این درد کهنه رو بشوره و ببره.,0
نه نت رایگان میخوایم نه چیز دیگه خواهشا سرعت اینترنت و درست کنید,0
وزیر این رسمش نیست ک هرکی تیغش تیزتره توی مخابرات و زیر ساخت مخابرات  مشغول ب کار بشه بدون اینکه رشته هاشون مرتبط باشه  و اون بدبختایی ک درسش رو خوندن و هزینه کردن بیکار بمونن  حاجی روی غیرتتون یه تجدید نظر بکنید,0
اینترنت مخابراتو درست کن ی ذره سرعت نداره,0
رقصشون عالیه اهنگش داغون لباس پوشیدنشونم مث ما بی جنبه نیستن که فقط بعد منفیشو ببینن فرهنگشون همونه,2
هدف از #چهارشنبه_سوری #شادی بوده ولی الان ما تبدیلش کردیم به #ترس,0
آقای وزیر سلام ببخشید یه سوال داشتم الان با این شرایط امکانش هست قیمت بسته های اینترنت رو پایین بیارید من واسه درس نیاز دارم و الان چند روز دیگه تموم میشه و توی این شرایط باید تمدیدش کنم و یا اگر امکانش هست بسته‌رایگان رو‌دوباره بدید ممنون ازتون‌که هوای نسل هفتاد و هشتاد رو دارید @azarijahromi,1
"@aliziyaoriginal دوستان عزیز ازتون عاجزانه درخواست دارم که خرید های زیاد انجام بدین مخصوصا مایحتاج اصلی و اساسی مثل نان و حبوبات و ماکارونی و گوشت و مرغ و ماهی 
میوه جات و سبزیجات به تعداد زیاد خریداری کنید خواهش میکنم ازتون عاجزانه بیرون نرید بخدا اوضاع از اون چیزی که شما فکرشو میکنید بدتره اگر خودمون کمک خودمون کنیم و بیرون نریم ممکنه این ویروس سیر نزولی رو طی کنه و از دست این بیماری راحت شیم توروخدا یه چند روز با نرفتن بیرون کاری کنید که باعث کمتر مبتلا شدن باشیم بخدا اگه چند روز داخل خونه بمونید بعد از اینکه این ویروس رفت میتونیم دوباره بریم بیرون توروخدا خواهشا",0
"سلام.وقت بخیر
متاسفانه ۱۰۰گیگ اینترنت مخابرات دادید ولی در مقابل سرعت رو آنقدر آوردید پایین که اصلا مودم وصل به اینترنت نمیشه و هیچ نوع اینترنتی در دسترسمون نیست.
اینم یک نوع قطع کردن اینترنت هست اما با سیاستی متفاوت.
یک جارو میزنین مثلا خوب کنین صدجای دیگه رو خراب میکنید.
وزیر عزیز و جوان انتظار بیشتر از این هست.وقتی ۱۰۰ گیگ رایگان میدید باید پهنای باند بیشتری هم در مقابلش بدین.چون حجم استعپفاده از نت بالا میره تا بشه پاسخگوی این حجم عظیم ترافیکی بود.اما وقتی حجم زیاد داده میشه و در مقابل پهنای باتد هم کاهش داده میشه سرعتها کاملا پایین میاد و هیچ کسی نمیتونه از نت استفاده کنه.
این ۱۰۰ گیگ رو ما نخواستیم.خواهشا همون حجم اولیه و سرعت اولیه خودمون رو بهمون برگردونید.
سرعت نت ۳مگ میگیریم بهمون سرعت ۱۲۸ کیلو بایت میدن دیگه حالا فرض کن الان ک سرعتا اومده پایین چه افتضاحیه.دیال آپ گذشته سرعتش بالاتر از این بود😐
تورو خدا سرعت نت رو به حالت قبل برگردونید و این ۱۰۰گیگ غیرقابل استفاده رو هم حذف کنید",0
آقا شوخی می کنید؟ روی خط های مسی vdsl ؟؟؟ طرف باید بغل مخابرات باشه تا لینک خوبی بگیره. چندتا شهر هست خونه هاش فیبر نوری دارن؟  کسی که خونه اش چند کیلومتر از مرکز مخابرات فاصله داره همون adsl هم به زور سرعتش هفت، هشت مگابیت میرسه.!!! به جای vdsl بهتر بود TD_LTEرو ارتقا می دادید تا نقاط تحت پوشش بیشتری بشه از TD-LTE استفاده کرد.,1
خداایی اون لباس فضا نوردیه ک اونروز کذاشتی الان بیشتر ب کار نمیاد,1
