Unnamed: 0,id,shortcode,text,modified_at,label,sentiment
13,17850650977948650,B9_2tQrjDws,@shatel_ir وقتی کرونا تموم شد اولین کاری ک میکنم اینه ک شرکت اینترنتمو عوض میکنم البته نه تنها من بلکه تمام فامیلامونم شاتل هستن اونام عوض میکنن گدا گشنه چی شد مثلن تمدید نکردی؟,2020-08-05 14:57:38,-1,-1
16,17865086944711320,B9_2tQrjDws,سلام خدمت.سلطان جهرمی .....یعنی واقعا باید کرونا بیاد که اینترنت رایگان بدید ....😂این خودش یه پا ظلمه😂از کرونا بد تره خدایی.........🔥اها راستی سرعتش ببرید بالا بابا خدایی ما فورت نایت میزنیم پینگ ۳۰۰ میچرخه اصلا درسته اینجوری باما تاکنی بابا این چشماتونو اخه بابا وا کنین😂❤️,2020-07-28 12:41:32,0,-1
18,17869768567643750,B9_2tQrjDws,آقا کرونا تموم شد ب همه اینترنت همراه رایگان بدین😂😂😂,2020-07-27 18:01:52,0,0
19,17920455634377770,B9_2tQrjDws,نت بده بمانیم  مگه ماها که نت خونگی نداریم کرونا داریم صد گیگ به بقیه دادی @azarijahromi,2020-07-24 18:17:35,-1,-1
20,17928495283370910,B9_2tQrjDws,کاری که نت رایگان با سرعت نت کرد کرونا با ووهان نکرد,2020-07-23 15:33:50,-1,-1
21,18005754109284360,B9_2tQrjDws,قطعا مردم از کرونا نمیرن از اینترنت افتضاح مخابرات روانی میشن,2020-05-26 17:58:02,-1,-1
22,18012074149279630,B9_2tQrjDws,حاجی اینترنتمو تموم شده یه صدتا قرضی تا بعد کرونا میدی,2020-06-16 12:58:41,-1,-1
23,18030134221251040,B98O-FbjkEG,سال نو مبارک وزیر جوان و پرتلاش، بخاطر اینکه مردم این روزا در قرنطینه خانگی هستند یه لطفی بکنید و دوباره صد گیگ اینترنت رایگان خانگی واسه مردم اختصاص بدید.دمتونگرم به امید ریشه کن شدن کرونا,2020-06-16 13:04:13,-1,1
24,18093410026179688,B9_2tQrjDws,آقای وزیر برای همون خونه موندن باید خوراک و غذایی باشه، وقتی مردم اگه خونه بمونن پول ندارن و بیش از پیش از زن و بچه شرمنده میشن ترجیح میدن با کرونا بمیرن، اگه واقعا حکومت عزمشو جزم کرده که این ویروس لعنتی تموم بشه تنها راه کارش خود مردمن اما این مردمو باید بهشون پول داد که از گشنگی نمیرن.,2020-05-18 12:51:45,-1,-1
25,18096833509193460,B9_2tQrjDws,باید مملکت مدیر با سواد داشته باشه . ما یه رئیس جمهور داریم بجای همدردی با مردم بجای چاره اندیشی مدام داره دولت خودشو با آمریکا مقایسه میکنه و خوشحال که ما بدون قرنطینه داریم با کرونا مبارزه میکنیم و قراره پول آب و برق رو دو ماه دیرتر بگیریم,2020-05-30 23:55:33,-1,-1
27,18109699795109860,B9WJIX0jnBB,خبر داری رئیس جمهوری که امثال شما بر ما حاکم کردید گفته باید هفتاد درصد ایرانی ها کرونا بگیرند و بااین درصد کشتار یعنی مرگ پنج میلیون ایرانی ... میخواید بخاطر این غلط بزرگی که کردید ساکت بمونید یا حرفی دارید ؟؟؟؟؟,2020-06-13 13:51:14,-1,-1
28,17916142174403120,B9_2tQrjDws,"حاجی سره جدت این ۱۰۰ گیگ اینترنت ماله خودتون 
من کرونا گرفتم تو خونه قرنطینه هستم کف کردم یه مودم tdlte ایرانسل دارم خیلی خوب بود ولی الان افتضاح 
میخوام تلویزیون انلاین ببینم فیلم که تموم میشه تازه تیتراژ اول میاد یه بررسی میفرمایید
مکان تهرانپارس - جشنواره بالای فرهنگسرای اشراق",2020-07-19 09:58:49,-1,-1
29,17869007644659750,B9_2tQrjDws,فیلتر کردن تلگرام هم کمکی است برای کرونا...,2020-07-29 23:14:43,0,0
30,17881873669532460,B96gy-KAenH,کرونا کاسبی شمارم رونق داده یه سریال40 دقیقه ای تولنز میبینی اشتراکم میبینی 2.5گیگ ازبستت کم میشه این دزدی نیست پس چیه ازاخرت نمیترسین از حق الناس,2020-07-25 08:25:45,-1,-1
31,17886398344515520,B9_2tQrjDws,سلام اقای جهرمی خدا قوت اقای جهرمی اینترنت روستای ما خیلی خیلی ضعیفه لطفا رسیدگی کنید خراسان شمالی منطقه راز و جرگلان روستای بچه دره  خواهش میکنم این روزا بخاطر کرونا همه تو خونه هستن,2020-07-26 22:32:13,0,-1
32,18026779264260460,B9WE4xRnK95,دیگه با اومدن کرونا دوره بیسواد ها به سر رسیده,2020-07-19 09:57:57,-1,0
35,17860626994767100,B9_2tQrjDws,کرونا بگیری سیک شی راحت شیم,2020-08-03 09:33:22,-1,-1
36,18110122471109620,B9_2tQrjDws,دکتر تلگرامو نمیتونی یکاری کنی تا بعد کرونا رفع فیلتر کنن؟ وبدا کانال وزارت بهداشت درمان و آموزش پزشکی  اطلاعات خوبی میده تو کانالش که خیلیا دسترسی ندارن.,2020-05-20 17:26:29,-1,-1
37,18135418990061248,B9_2tQrjDws,کاش این کلیپی که گذاشتید به جای خارج، صحنه ایی از ایران بود. کاش دولتمردان ما حداقل اندازه اونا خطرناکی این ویروس رو درک می کردند و قبل از اینکه به همه استان ها برسه قرنطینه رو اجرا می کردند. کاش می فهمیدند که همه دنیا الکی تعطیل نکردند و تعطیل می کردند. البته توی عید نیازی به تعطیل کردند نیست چون اگر اداره ایی هم توی عید باز بود قبل از تصمیم مسئولین مثل سال های گذشته مردم با مرخصی گرفتن تعطیل می کردند. کاش مسئولین اینقدر درک می کردند که کرونا ظرف دو هفته تعطیلات عید قرار نیست غیب بشه، پس بعد عید هم ادارات بازند و هم کرونا برای خودش جشن می گیره. کاش دولتمردان و مسئولین اینقدر درک و فهم فهمیدن موارد بالا رو داشتند. تا شاهد همچین صحنه هایی در ایران هم می بوریم.,2020-05-14 09:56:25,-1,-1
38,17887088338506110,B9b_KKCJTHP,انشا... که همه تو هر نقطه از کره زمین از بلای کرونا به دور باشه  و مریضا زود خوب بشن,2020-07-25 01:52:25,1,1
40,17858193877819740,B-IAjrPjgFd,جهرمی فک کنم تو انتی ویروس نصب کردی . خب لامصب چرا نمیری کرونا بگیری از دستت راحت شیم,2020-08-05 15:00:13,-1,-1
41,17858382019831570,B-IAjrPjgFd,از کرونا چه خبر؟,2020-08-02 23:01:50,-1,0
42,17860754191764930,B-IAjrPjgFd,بد نبود تو این شرایط کرونا شما هم یه خودی نشون میدادی مشتریهای خانگی شما به ۱ درصد مملکتم نمیرسه بابا خییر ، دست بخیر ، لوتی ، بزرگ مرد قولنج نکنه وزارتخونه ات رباط صلیبی پاره نکنه . اینجوری که شما این وزارتخونه رو مدیریت میکنی ننه میرمم میتانست . اندیشمرد ، سهمیه ، مردم رعایت کردن یدونه دید و بازدید و تبدیل کردن به ۲ تا ۳ تا تماس تلفنی زشت نیست که وزارتخانه شما تو این شرایط به فکر کاسبی کردن باشه . ماسک قاچاق فروختن و سوی استفاده تو این شرایط فقط برای مردم‌زشته فضانورد ؟ به تلفنای همراه یا اینترنت رایگان سه ماهه بده یا تماسای تلفنی نوروز و از مطالباتت کسر بکن .,2020-07-28 19:49:30,0,-1
43,18079222615197700,B97EkTFAKhj,"سلام و درود بر وزیر پرتلاش و عزیزمون 
خداقوت 
یه دخواست دارم اگه ممکنه خواهشا پیگیرش باشید
ما اینترنت آسیاتک داشتیم این مدت همش ترافیک میخریدیم 
چون تو خونه بودیم فکر میکردم اینترنت ۱۰۰ گیگ فقط مال مخابراته
تازه دیروز تو کاربری دیدم زده بسته مبارزه با کرونا 
زدم روش بستم فعال شد اولش کلی ذوق کردم که با این وضع بی پولی از خرید حجم راحت شدم ولی دیدم زده یک روز تا انتهای طرح
اگر ممکنه خواهش میکنم حداقل تا ۱۵ فروردین زمانشو تمدید کن توروخدا😢",2020-06-10 09:39:22,1,-1
44,17873807056614970,B9ccMomDiAw,ممنون ب شعور ملت توهین میکنید اقایی تنابنده .وسط زمستون حج تا جایی ک یادمونه عید قربان تو تابستونه . و تو تابستونم کرونا نبود . ی سکانس رحمت تو مرایم حج نقی ژل ضد عفونی زد ب دستاش,2020-07-22 18:19:17,-1,-1
45,17865673420727080,B-IAjrPjgFd,اینترنت رایگان نمی‌خوایم فقط ازون کنید اینترتا رو خیلی گرون شده مخصوصا ت وضعیت کرونا,2020-07-28 20:36:48,-1,-1
46,17908596826424920,B947Hr9AHZ8,کلا من یه خلاصه بگم رعایت و احتیاط کنید و مواظب خودتان و تمام مردم جهان باشید و نیازی نیست که مثلا آقای دکتر اینجور گفت و اونجور گفت اگر این دکترا چیزی بلد بودن واکسن می ساختن و دکترای که از لحاظ پست و مقام در اطراف من قرار دارند خودشون نمی گرفتن و اخرش جالب هست میگن بخاطر زحمت های که برای ملت گرفتیم یکباره گریبان خودمان هم شد جواب این افراد باید اینجوری داد یک نمونه از زحماتت و داری با جانت بازی میکنی آون در مقابل یک نفر که کرونا واقعی داشته حالا یا زنده هست یا فوت کرده به نمایش بزار کلا من دلم برای حتی کوچکترین موجود دنیا هم میسوزه اما وقتی هم ببینم در حال فیلم بازی کردن هستند بی رحم طوری که شیطان میاد پیش من میگه استاد یه ویژگی رو یادم بده کلا آموزش و آموزش ما هم بده منم براش کلاس هم میزارم عیدتان مبارک باد,2020-07-20 08:20:12,1,0
47,17909060614418870,B96gy-KAenH,عالی لطفاً پست فعال باشه در روزهای کرونا🌹,2020-06-20 15:54:50,1,1
51,17867339152673150,B99Ek3LD6ea,من نه در عید بلکه بعد ۸۸ زندگی درستی نداشتم تو زندگیم.چون نه مملکتم مملکت بود نه مسیولاش نه آدماش.نمیتونم بیرون نرم چون مثل خیلیااینترنت خانکگی ندارم.شبکه های مجازی فیلتره.دروغ همه جای تهران کرج که هستم از در و دیوار بالا میره.مهندس عزیز من از کرونا نمیرم از سو تغذیه میمیرم از بیکاری و سرکوفت میمیرم,2020-08-01 09:02:14,-1,-1
52,17874709486601840,B98O-FbjkEG,"اقای جوان وزیر جوان 
من دیروز با دلار ۱۶تومن یه بازی گرفتم برا ps4 که در ایام قرنطینه و بیرون نرفتن ها بشینم گیم بزنم 
ولی شما با این نت دادنتون گند زدین به نت و ما گیمرا با پینگ و سرعت نت و پکت لاس و هزار کوفت دیگه 
کی این وضع گوه بار رو درست میکنی 
الان خواستم بازی رو دان کنم زده +۹۹ ساعت من که میرم بیرون بدم بریزن میخوام چرخه ی کرونا ادامه دار باشه😐😐",2020-07-26 13:32:34,-1,-1
53,17877650230569670,B99Ek3LD6ea,این چیزا که جدید پشت آوا انتظار در مورد کرونا گذاشتن کار کی بوده جواد,2020-07-26 22:36:32,-1,0
54,17882650732523850,B99Ek3LD6ea,کاکو میخی کرونا مرونا نگیری وخی بیا دهکهان ایجو کرونا مرونا اصا نمنه چیه 😂,2020-07-24 21:19:01,-1,-1
55,17897430781459460,B99Ek3LD6ea,دکتر توی بقیه کرونا اداتو هم نمیتونه در بیاره جواد جون,2020-07-23 01:26:29,1,1
56,17907017245425900,B98O-FbjkEG,حاجی تو رو خدا ب دولت برسون ببینن چین چیکار کرده مهار شده کرونا شما هم همون کارو کنید ول کردین ملتو تموم شدن ایرانیا,2020-07-11 11:57:19,-1,-1
57,17903407051440050,B97EkTFAKhj,سلام اقای جهرمی وجدانن چه برنامه و طرح های برای امسال  مردم دارید بازم میخواهد از این پست هوای درست کنید واقعا چه کاربردی داشت و داره و برای مبارزه با کرونا چه اقداماتی دارید شما هم فقط با طرح در خانه بمانید شعار میدهید یاده حرف حرف امام افتادم گفت بکشید ما را ...😐,2020-07-22 22:01:06,-1,-1
58,17908466167423840,B99Ek3LD6ea,واقعا ،آدم از کرونا نمیره ،از این سوپرایزا سکته میکنه و میمیره,2020-07-06 21:51:50,-1,0
59,17941586431340130,B99Ek3LD6ea,فکر کنم کرونا تموم بشه همه باید بریم کمپ  @azarijahromi ترک اینترنت,2020-06-10 09:28:07,0,0
60,18026582473258688,B99Ek3LD6ea,"خدا گر زحکمت ببندد دری
ز رحمت گشاید در دیگری
با توجه به کاهش سفرهای نوروزی، به تبع آمار حوادث و تلفات جاده ای هم کاهش یافته ، بطوریکه تعداد قربانیان ویروس کرونا به مراتب کمتر از تلفات جاده ای شده است .امید که این اتفاق خود نقطه شروع روشنی برای سال جدید باشد .",2020-06-20 14:07:57,1,1
61,18021433264269128,B98O-FbjkEG,بخواب وزیر با این کرونا و گرفتاری,2020-07-25 17:57:24,-1,-1
62,18086998981166380,B98O-FbjkEG,وزیر جای صدا خاموشه صدای رامبد جوان اجازه بدی پخش شه موقع خاموش بودن گوشی صدای خودتو پخش میکردی جای مردم تصمیم میگیری بهتر نبود اخه عینکی شورشو در اوردی برای خودت بزار عید نمیخواهیم بهت تبریک بگیم چون تو از صدتا کرونا بدتری,2020-06-10 11:26:43,-1,-1
63,17955522463313500,B99Ek3LD6ea,ما اگر از کرونا نمیریم از حرص قطی مودم و چراغ قرمزش میمیریم .اخه چه وضشه,2020-07-25 17:49:02,-1,-1
64,18134656639000200,B99Ek3LD6ea,"این عید پی عشق و صفایی نرویم
بر  دیدن  یار و  آشنایی  نرویم 
تا  رخت  نبندد  کرونا  از  میهن 
در  خانه بمانیم و به  جایی نرویم 
عیدتان مبارک 🌷🌷🌷🌷",2020-07-06 21:54:15,1,1
66,17858282515806400,B99Ek3LD6ea,آقای روحانی از حکومت آمریکا انتظار داره تحریم هارو به خاطر کرونا برداره میشه ما هم از حکومت جمهوری اسلامی انتظار داشته باشیم حصر رو در این دوران برداره؟,2020-08-03 13:41:55,-1,0
67,18120473230073528,B99Ek3LD6ea,من اگه جای شما بودم برای کاهش تنش های جنگ روانی کرونا کلا اینترنت رو قطع و یه سایت میزاشتم فقط مردم اخبار رو اونجا ببینن و خودشون هم اخبارشون رو ثبت کنن و افرادی پیگیر صحت اون خبرها باشن نه اینهمه شایعه و استرس زیاد! از طرفی الان دیگه همه سرشون تو گوشیه و بچها جواب سلام مادر پدرا رو هم نمیدن. درس هم که دیدار به قیامت. جم کنین این وضع و بابااااا,2020-06-13 11:05:28,-1,-1
70,17885849944514910,B97EkTFAKhj,خوب کرونا دارید جا میندازین اسفند ها😁,2020-07-22 21:30:10,1,0
71,17944987702328660,B97EkTFAKhj,ایشالا در سال جدید کرونا بگیری,2020-06-16 08:13:02,1,-1
75,17868053434666990,B99Ek3LD6ea,"به محمد خان پسرت بگو: کرونا از وزیر رسد نکوست...بوسرو بده بیاد جهرمی جان😘😘
@azarijahromi",2020-08-05 13:09:48,1,1
76,17906005936431000,B99Ek3LD6ea,@azarijahromi بابا خوب شما ها کارتون چیه نمیتونید استعفا بدید کرونا داره مارومیکشه امروز شهرستان پلدختر نه  نفر مثبت شده,2020-07-19 11:57:07,-1,-1
77,17877945415562800,B9_2tQrjDws,حاجی توروخدا به همراه اول بگو فعلا خط را یک طرفه نکنه. کرونا از چند طرف کرده تو زندگی و کسب و کار ما.اقلا تو خونه هستیم با گوشی  دلمون به پست های امید بخش شما خوشه🌹🌹🌹🌹,2020-07-22 18:14:23,1,-1
78,17878094284566480,B9_2tQrjDws,آقای وزیر بسته شکست کرونا برای ما ۹۰ گیگ فعال شده ۱۰ گیگش نیست زده ۹۰.۹۹ گیگ شرکت آسیاتک,2020-07-26 14:03:29,0,0
79,17866193632681480,B9_2tQrjDws,"فعالیتهایی که انگلیس برای مقابله با شیوع کرونا انجام داده
۳۳۰ میلیارد پوند حمایت از مشاغل و شرکتها
پرداخت ۸۰ ٪ حقوق تمام بیکار شده‌ها
عقب انداختن مالیات بر ارزش افزوده
دعوت بکار ۶۵ هزار بازنشسته نظام درمانی",2020-08-05 12:30:19,-1,0
80,17881855420546570,B9_2tQrjDws,متاسفم برا شرکت ایرانسل کثیف که هیچ هزینه ای از بسته هاش کم نکرد و هیچ طرح عیدانه ای نزاشت... این روزا میگذره و اما پستی این شرکت بیادمون میمونه... کرونا تموم شه ایرانسلو میندازم توالت😂,2020-07-26 09:57:49,-1,1
81,17878217932563210,B9_2tQrjDws,یه نفر گفته ایشون تنها وزیری هست که کار میکنه باید بهش گفت.. آره تنها کسی که داره تمام تلاششو میکنه تا شبکه ی ملی راه اندازی نشه ایشون و معاونش هستند تنها کسی که خوب جلوی پیام رسانهای داخلی ایستاده ایشونه.. چین تونست با کمک شبکه ی ملی بر کرونا پیروز بشه.. اما تو ایران وزیر بهداشت نمیدونه با دروغهای فضای مجازی رها شده و مردم زودباور بجنگه یا با کمبود ماسک. یا با مردم بی عقلی که میرن مسافرت.. خون تمام شهدای سلامت و مردمی که در اثر کرونا فوت میکنند بر گردن این وزیر بی لیاقت هست😠,2020-07-24 10:43:33,-1,-1
82,17896496221461560,B9_2tQrjDws,جهان بدون انسان خرابه بیش نیست. جهان با انسان حال خرابی دارد، انسان باید آدم شود، شاید با امثال کرونا!,2020-07-13 11:18:05,-1,0
83,18097214803090580,B9_2tQrjDws,سلام اقای جهرمی.حالا مارو تو خونه حبس میکنید هیچ،حداقل نتارو درست کنید،یه سال طول میکشه چیزیو بخوای باز کنی،تا اون موقع هم کرونا تموم شده،ای کلکا نقشه ی جدیدتونه😅😅😅,2020-06-10 09:28:16,-1,-1
84,18056907616211752,B9_2tQrjDws,کرونا خر است😐,2020-05-18 16:30:43,-1,-1
85,18121654708073832,B9_2tQrjDws,به کجا چنین شتابان.  سلام هموطن ، سلام نشسته در حریم دل. ،سلام ایرانی.  میخواهم بگویم بهارت مبارک  آری بهارت مبارک اما تو هم به بهار دل دیگر ایرانیها فکر میکنی،آیا تو هم از لحظه ای شاد شدنت برای سالها شاد شدن هموطنت میگذری، با تو هستم که تنها خودت را دیدی و عید را برای خودت میدانی،آیا غیر از این است که امسال با شرایط پیش آمده بواسطه ی ویروس ویرانگر کرونا باید عید دیدنی را به عید شنیدنی کفایت میدادیم،پس تو چطور وجدانت را آرام میکنی در قبال لحظه ای که عزیزی در مقابل چشم عزیزانش جان میسپارد ،اوف بر تو باد اگر میدانی و دانسته دیوار حمایت و اعتماد هموطنت را شکستی و اگر نمی دانی از حالا تصمیم بگیر تا دیر نشده،نگذار فکر کنیم بجای شستشوی دست باید ابتدا مغز و تفکرت را بشویی، که تو ایرانی با فرهنگی پر قدمتی،حال اگر تبریک را هدیه میکنی در خانه بمان که سلامتی بهترین هدیه برای هموطنان است برای اینکه کودکی از مهر پدر و مادر و والدینی از مهر کودکانشان بی بهره نمانند همت تو را میطلبد،  با سپاس از فهم و درک بالایتان اندکی تامل بایدت.........,2020-07-19 15:01:11,1,1
86,18109452535108620,B9_2tQrjDws,کرونا بگیریم بهتر از اینه با اسم شما حسابمونو هک کنن بدبخت بشیم,2020-05-19 20:51:23,0,-1
87,18057674458211392,B9_2tQrjDws,سهمیه بنزین باید برای کسانیکه در نوروز وتاپایان کرونا به مسافرت نمی روند تشویقی محاسبه شود' سقف ذخیره حذف شود,2020-06-09 09:04:15,0,0
88,18135211867045360,B9_2tQrjDws,جناب اقای @azarijahromi  شعار در خانه بمانید شما دولت دروغگو دروغی بیش نیست از روزی که اینترنت رایگان شده من نتونستم یک سات از اینترنت استفاده کنم بسیار متاسفم کاش قبل از کرونا برای شما و دولت روحانی داروی ساخته بشه انشالله,2020-06-13 12:51:06,-1,-1
90,17872484953620090,B-IAjrPjgFd,مملکت شده خانه ی ارواح! خلوت و بی روح! اونایی که به دلار حقوق می گیرند و فکر جیب خالی و شکم گرسنه ی مردم نیستند توی این گرانی و اوضاع و احوال کرونایی الهی کرونا بگیرند و خانوادگی بمیرند،آمین به حق خداوند جبار،قهار در هم کوبنده ی ظلم و فرعون گرایی و تک خوری و حق خوری ...,2020-07-25 17:23:23,-1,-1
91,17868166552673200,B-IAjrPjgFd,تنها وزیری که محبوب بوده و هست رحمانی فضلی بوده و هست که خداوند نگه دارش باشد 🌹الهی کرونا راه خانه اش را بلد نشود،آمین یا رب العالمین 🌹برای سلامتی ش بر محمد و آل محمد صلوات🌹,2020-08-02 23:34:18,1,1
92,17920845268384600,B-IAjrPjgFd,همگی بگویید آمین تا کرونا نرفته و هست فوری مستجاب شود نزد خداوند...,2020-07-11 11:53:56,1,0
93,17928818599369790,B-IAjrPjgFd,جناب وزیر . چرا کارمندان پست اینروزها سرشون خیلی شلوغه تعطیل نمشن . کی گفت تو اداره پست کرونا وجود نداره . کی گفته با بسته های پستی ویروس منتقل نمیشه . تو رو خدا یه فکری هم بحال بچه های پشت باجه . هم نامه رسانهای عزیز بکنید,2020-06-13 11:02:49,-1,-1
94,17881791745548670,B-IAjrPjgFd,خدایی خیلی خوشم میاد از سادگیت و بی شیله پیله بودنت عین خودمون هستی اگه تا سیزده کرونا جم شد بیاین بریم سر زمینهای بابام کنار تخت جمشید🌿🌹🌹🌹💚,2020-07-26 22:15:32,1,1
95,18133774219017880,B-IAjrPjgFd,به جا این حرفا نت رو درست کنید ، کرونا اومد ، شهاب سنگ هم اومد ولی شما نتا رو درست نکردید ، سرعت کا نداره ، دائماً قطع میشه . هر چی هم دست شما ها میرسه فیلتر میکنید دیگ بیاید ما رو هم فیلتر کنید لطفا🙏,2020-05-26 20:09:33,-1,-1
96,18134141848008700,B-IAjrPjgFd,وزیرجوان کرونا به دور🙏,2020-05-20 17:24:18,0,1
97,18121161250075820,B-IAjrPjgFd,"سلام آقای جهرمی یه نفر زنگ زده از طرف شما و صدا و سیما که ۵ میلیون برنده شدم حالا بیا بگو من چه کنم اینم شمارش09368572588, میگه به نیت چهارده معصوم برنده شدم ،تو این اوضاع کرونا با احساسات من بازی کرد ،ایشالله کرونا بره بخورش،",2020-05-14 09:46:12,-1,0
98,18127052728068260,B-IAjrPjgFd,من هم امید به آینده بسیاری دارم، #طرح_ملی_بسیج_تولید_اقلام_ضروری_کرونا طرحیست از بنده که میتواند گشایش خوبی در مقابله و شکست #کرونا باشد.امیدوارم بحران تخت ها و تجهیزات مانیتورینگ با این طرح تا حدود زیادی کنترل بشود. @azarijahromi @amirkhorasani1 @shahinsamadpoor  @sheykhbaqeri @takhalofat_edari,2020-06-16 13:04:17,1,1
103,17860051393790830,B9W8zIfDP3U,به نظرتون کدوم کشور بالاخره موفق میشه واکسن کرونا رودرست کنه.اگرواقعا کسی اطلاعاتی داره بهم بگه هرکی درست حدث زد بهش جایزه میدم,2020-08-02 23:02:28,0,0
104,18019928242263980,B9_2tQrjDws,جهرمی باعث بانی که مردم نیرن بیروت ایرانسل و اپراتورهاتن چرا بخاطر که خطشونو مسدود میکنن باید برن نمایندگی و اونجام الوده هست و کرونا میگیرن این باعث بانی گند کاری ایرانسل باید تو جواب بدی خوب تو که وزیر افتضاحات شدی,2020-07-12 12:45:30,-1,-1
107,17934291790352490,B9XcKVnpv_G,"‎بهترین راه مبارزه با کرونا تعطیلی جاهای غیرضروری و استریل کردن سوپر مارکت ها توسط تیمی حرفه ای از متخصصین در این زمینه میباشد و حفظ قرنطینه ی خانگی و شخصی توسط هر ایرانی میباشید.یادمان باشد مسؤلیت پذیری همه ی ما در این زمینه لازم و حیاتی میباشد.
‎به امید ریشه کن شدن این ویروس شوم🌸
@dr_ali_mantegh",2020-07-11 11:58:36,1,1
108,17955808774313800,B9b_KKCJTHP,اخیییی چه خوبه بیمارستانایی که شما نشون میدید ، اینهمه ادم کرونا دارن همشون هم تو اتاق بززززرگ و تک و تنها و باتمام تجهیزات قرنطینه هستن😏😏😏اونایی که تو اخبار خودشون میگن و کمبود مواد غذایی و کمبود بیمارستان و.... همش دروغههه!!!! میگم یه سر برید ببینید ملکه ترسوتون کجا و توکدوم سوراخ قایم شده بعد بیاید این مزخرفاتو تو حلق ایرانیا بکنید.. یعنی پیدا میشه احمقی که حرفای شمارو باور کنه!!!؟؟؟؟😏😏,2020-06-14 12:10:45,-1,-1
109,18045843505238940,B9_2tQrjDws,بیخیال شعار شماها که میگید بخاطر کرونا امریکا تحریمارو بردارید شما حاظرید بخاطر مردم دست از دکمه فیلترینگ بردارید🧐,2020-07-13 09:38:51,-1,-1
